Acceleration X: 0.63, Y: 0.06, Z: 7.64 m/s^2
Acceleration X: 0.71, Y: 0.09, Z: 7.62 m/s^2
Acceleration X: 0.65, Y: 0.09, Z: 7.61 m/s^2
Acceleration X: 0.71, Y: 0.08, Z: 7.63 m/s^2
Acceleration X: 0.61, Y: 0.04, Z: 7.62 m/s^2
Acceleration X: 0.63, Y: 0.04, Z: 7.67 m/s^2
Acceleration X: 0.63, Y: 0.05, Z: 7.62 m/s^2
Acceleration X: 0.63, Y: 0.04, Z: 7.61 m/s^2
Acceleration X: 0.69, Y: 0.04, Z: 7.66 m/s^2
Acceleration X: 0.64, Y: 0.11, Z: 7.63 m/s^2
Acceleration X: 0.65, Y: 0.04, Z: 7.68 m/s^2
Acceleration X: 0.61, Y: 0.07, Z: 7.59 m/s^2
Acceleration X: 0.71, Y: 0.07, Z: 7.63 m/s^2
Acceleration X: 0.67, Y: 0.12, Z: 7.59 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.60 m/s^2
Acceleration X: 0.65, Y: 0.06, Z: 7.68 m/s^2
Acceleration X: 0.68, Y: 0.09, Z: 7.62 m/s^2
Acceleration X: 0.64, Y: 0.03, Z: 7.57 m/s^2
Acceleration X: 0.61, Y: 0.07, Z: 7.64 m/s^2
Acceleration X: 0.65, Y: 0.08, Z: 7.64 m/s^2
Acceleration X: 0.67, Y: 0.04, Z: 7.54 m/s^2
Acceleration X: 0.62, Y: 0.06, Z: 7.66 m/s^2
Acceleration X: 0.60, Y: 0.09, Z: 7.55 m/s^2
Acceleration X: 0.63, Y: 0.07, Z: 7.65 m/s^2
Acceleration X: 0.69, Y: 0.06, Z: 7.57 m/s^2
Acceleration X: 0.65, Y: 0.12, Z: 7.58 m/s^2
Acceleration X: 0.71, Y: 0.06, Z: 7.64 m/s^2
Acceleration X: 0.72, Y: 0.06, Z: 7.66 m/s^2
Acceleration X: 0.71, Y: 0.04, Z: 7.77 m/s^2
Acceleration X: 0.73, Y: -0.01, Z: 7.63 m/s^2
Acceleration X: 0.69, Y: 0.03, Z: 7.73 m/s^2
Acceleration X: 0.69, Y: 0.05, Z: 7.74 m/s^2
Acceleration X: 0.63, Y: 0.01, Z: 7.66 m/s^2
Acceleration X: 0.72, Y: 0.10, Z: 7.69 m/s^2
Acceleration X: 0.67, Y: 0.09, Z: 7.55 m/s^2
Acceleration X: 0.67, Y: 0.02, Z: 7.64 m/s^2
Acceleration X: 0.73, Y: 0.06, Z: 7.68 m/s^2
Acceleration X: 0.65, Y: 0.10, Z: 7.54 m/s^2
Acceleration X: 0.68, Y: 0.08, Z: 7.61 m/s^2
Acceleration X: 0.65, Y: 0.04, Z: 7.55 m/s^2
Acceleration X: 0.68, Y: 0.03, Z: 7.66 m/s^2
Acceleration X: 0.74, Y: 0.05, Z: 7.65 m/s^2
Acceleration X: 0.67, Y: 0.06, Z: 7.65 m/s^2
Acceleration X: 0.71, Y: 0.06, Z: 7.60 m/s^2
Acceleration X: 0.69, Y: 0.05, Z: 7.64 m/s^2
Acceleration X: 0.63, Y: 0.04, Z: 7.69 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.70 m/s^2
Acceleration X: 0.61, Y: 0.07, Z: 7.59 m/s^2
Acceleration X: 0.66, Y: 0.05, Z: 7.67 m/s^2
Acceleration X: 0.76, Y: 0.08, Z: 7.56 m/s^2
Acceleration X: 0.71, Y: 0.09, Z: 7.62 m/s^2
Acceleration X: 0.69, Y: 0.04, Z: 7.69 m/s^2
Acceleration X: 0.67, Y: 0.04, Z: 7.62 m/s^2
Acceleration X: 0.70, Y: 0.06, Z: 7.64 m/s^2
Acceleration X: 0.74, Y: 0.07, Z: 7.61 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.69 m/s^2
Acceleration X: 0.65, Y: 0.11, Z: 7.59 m/s^2
Acceleration X: 0.72, Y: 0.10, Z: 7.64 m/s^2
Acceleration X: 0.69, Y: 0.07, Z: 7.61 m/s^2
Acceleration X: 0.67, Y: 0.12, Z: 7.59 m/s^2
Acceleration X: 0.70, Y: 0.06, Z: 7.58 m/s^2
Acceleration X: 0.67, Y: 0.13, Z: 7.56 m/s^2
Acceleration X: 0.68, Y: 0.07, Z: 7.56 m/s^2
Acceleration X: 0.58, Y: 0.02, Z: 7.73 m/s^2
Acceleration X: 0.70, Y: 0.11, Z: 7.62 m/s^2
Acceleration X: 0.66, Y: 0.10, Z: 7.61 m/s^2
Acceleration X: 0.66, Y: 0.10, Z: 7.63 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.69 m/s^2
Acceleration X: 0.66, Y: 0.08, Z: 7.59 m/s^2
Acceleration X: 0.72, Y: 0.01, Z: 7.69 m/s^2
Acceleration X: 0.65, Y: 0.03, Z: 7.59 m/s^2
Acceleration X: 0.69, Y: 0.05, Z: 7.60 m/s^2
Acceleration X: 0.68, Y: 0.04, Z: 7.57 m/s^2
Acceleration X: 0.65, Y: 0.08, Z: 7.63 m/s^2
Acceleration X: 0.68, Y: 0.07, Z: 7.59 m/s^2
Acceleration X: 0.69, Y: 0.03, Z: 7.55 m/s^2
Acceleration X: 0.72, Y: 0.05, Z: 7.69 m/s^2
Acceleration X: 0.64, Y: 0.04, Z: 7.53 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.64 m/s^2
Acceleration X: 0.59, Y: 0.06, Z: 7.67 m/s^2
Acceleration X: 0.67, Y: 0.09, Z: 7.62 m/s^2
Acceleration X: 0.68, Y: 0.04, Z: 7.69 m/s^2
Acceleration X: 0.63, Y: 0.03, Z: 7.65 m/s^2
Acceleration X: 0.71, Y: 0.07, Z: 7.63 m/s^2
Acceleration X: 0.66, Y: 0.00, Z: 7.62 m/s^2
Acceleration X: 0.69, Y: 0.06, Z: 7.62 m/s^2
Acceleration X: 0.64, Y: 0.02, Z: 7.61 m/s^2
Acceleration X: 0.67, Y: 0.06, Z: 7.63 m/s^2
Acceleration X: 0.69, Y: 0.02, Z: 7.62 m/s^2
Acceleration X: 0.69, Y: 0.04, Z: 7.74 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.64 m/s^2
Acceleration X: 0.71, Y: 0.09, Z: 7.69 m/s^2
Acceleration X: 0.68, Y: 0.08, Z: 7.62 m/s^2
Acceleration X: 0.70, Y: 0.10, Z: 7.57 m/s^2
Acceleration X: 0.63, Y: 0.04, Z: 7.59 m/s^2
Acceleration X: 0.70, Y: 0.09, Z: 7.64 m/s^2
Acceleration X: 0.66, Y: 0.05, Z: 7.67 m/s^2
Acceleration X: 0.67, Y: 0.12, Z: 7.68 m/s^2
Acceleration X: 0.71, Y: 0.10, Z: 7.62 m/s^2
Acceleration X: 0.63, Y: 0.02, Z: 7.68 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.64 m/s^2
Acceleration X: 0.65, Y: 0.09, Z: 7.65 m/s^2
Acceleration X: 0.69, Y: 0.06, Z: 7.67 m/s^2
Acceleration X: 0.61, Y: 0.04, Z: 7.54 m/s^2
Acceleration X: 0.67, Y: 0.00, Z: 7.62 m/s^2
Acceleration X: 0.68, Y: 0.08, Z: 7.49 m/s^2
Acceleration X: 0.75, Y: 0.10, Z: 7.69 m/s^2
Acceleration X: 0.71, Y: 0.04, Z: 7.62 m/s^2
Acceleration X: 0.72, Y: 0.02, Z: 7.64 m/s^2
Acceleration X: 0.67, Y: 0.04, Z: 7.60 m/s^2
Acceleration X: 0.64, Y: 0.07, Z: 7.58 m/s^2
Acceleration X: 0.70, Y: 0.04, Z: 7.69 m/s^2
Acceleration X: 0.69, Y: 0.04, Z: 7.71 m/s^2
Acceleration X: 0.67, Y: 0.10, Z: 7.55 m/s^2
Acceleration X: 0.69, Y: 0.06, Z: 7.60 m/s^2
Acceleration X: 0.70, Y: 0.05, Z: 7.59 m/s^2
Acceleration X: 0.71, Y: 0.04, Z: 7.61 m/s^2
Acceleration X: 0.70, Y: 0.09, Z: 7.64 m/s^2
Acceleration X: 0.66, Y: 0.07, Z: 7.66 m/s^2
Acceleration X: 0.68, Y: 0.11, Z: 7.62 m/s^2
Acceleration X: 0.67, Y: 0.08, Z: 7.67 m/s^2
Acceleration X: 0.72, Y: 0.04, Z: 7.74 m/s^2
Acceleration X: 0.69, Y: 0.06, Z: 7.67 m/s^2
Acceleration X: 0.73, Y: 0.05, Z: 7.62 m/s^2
Acceleration X: 0.65, Y: 0.07, Z: 7.64 m/s^2
Acceleration X: 0.65, Y: 0.08, Z: 7.57 m/s^2
Acceleration X: 0.72, Y: 0.05, Z: 7.76 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.61 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.60 m/s^2
Acceleration X: 0.71, Y: 0.10, Z: 7.69 m/s^2
Acceleration X: 0.74, Y: 0.05, Z: 7.57 m/s^2
Acceleration X: 0.69, Y: 0.12, Z: 7.60 m/s^2
Acceleration X: 0.69, Y: 0.09, Z: 7.57 m/s^2
Acceleration X: 0.74, Y: 0.06, Z: 7.61 m/s^2
Acceleration X: 0.60, Y: 0.11, Z: 7.66 m/s^2
Acceleration X: 0.64, Y: 0.05, Z: 7.68 m/s^2
Acceleration X: 0.65, Y: 0.14, Z: 7.60 m/s^2
Acceleration X: 0.71, Y: 0.05, Z: 7.60 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.69 m/s^2
Acceleration X: 0.71, Y: 0.08, Z: 7.65 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.75 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.70 m/s^2
Acceleration X: 0.67, Y: 0.06, Z: 7.70 m/s^2
Acceleration X: 0.67, Y: 0.08, Z: 7.58 m/s^2
Acceleration X: 0.69, Y: 0.07, Z: 7.59 m/s^2
Acceleration X: 0.71, Y: 0.06, Z: 7.68 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.66 m/s^2
Acceleration X: 0.64, Y: 0.07, Z: 7.71 m/s^2
Acceleration X: 0.61, Y: 0.09, Z: 7.62 m/s^2
Acceleration X: 0.67, Y: 0.08, Z: 7.61 m/s^2
Acceleration X: 0.68, Y: 0.11, Z: 7.75 m/s^2
Acceleration X: 0.66, Y: 0.07, Z: 7.63 m/s^2
Acceleration X: 0.66, Y: 0.08, Z: 7.56 m/s^2
Acceleration X: 0.66, Y: 0.08, Z: 7.54 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.65 m/s^2
Acceleration X: 0.66, Y: 0.14, Z: 7.67 m/s^2
Acceleration X: 0.63, Y: 0.05, Z: 7.61 m/s^2
Acceleration X: 0.66, Y: 0.09, Z: 7.70 m/s^2
Acceleration X: 0.70, Y: 0.06, Z: 7.68 m/s^2
Acceleration X: 0.67, Y: 0.01, Z: 7.74 m/s^2
Acceleration X: 0.65, Y: 0.06, Z: 7.67 m/s^2
Acceleration X: 0.72, Y: 0.00, Z: 7.64 m/s^2
Acceleration X: 0.71, Y: 0.12, Z: 7.62 m/s^2
Acceleration X: 0.72, Y: 0.09, Z: 7.60 m/s^2
Acceleration X: 0.68, Y: 0.08, Z: 7.80 m/s^2
Acceleration X: 0.69, Y: 0.04, Z: 7.57 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.71 m/s^2
Acceleration X: 0.63, Y: -0.00, Z: 7.65 m/s^2
Acceleration X: 0.74, Y: 0.08, Z: 7.58 m/s^2
Acceleration X: 0.63, Y: 0.07, Z: 7.66 m/s^2
Acceleration X: 0.71, Y: -0.01, Z: 7.60 m/s^2
Acceleration X: 0.71, Y: 0.02, Z: 7.66 m/s^2
Acceleration X: 0.62, Y: 0.12, Z: 7.59 m/s^2
Acceleration X: 0.59, Y: 0.12, Z: 7.56 m/s^2
Acceleration X: 0.67, Y: 0.07, Z: 7.66 m/s^2
Acceleration X: 0.66, Y: 0.05, Z: 7.61 m/s^2
Acceleration X: 0.70, Y: 0.06, Z: 7.56 m/s^2
Acceleration X: 0.72, Y: 0.05, Z: 7.61 m/s^2
Acceleration X: 0.67, Y: 0.10, Z: 7.66 m/s^2
Acceleration X: 0.63, Y: 0.09, Z: 7.70 m/s^2
Acceleration X: 0.66, Y: 0.04, Z: 7.58 m/s^2
Acceleration X: 0.74, Y: 0.06, Z: 7.60 m/s^2
Acceleration X: 0.64, Y: 0.10, Z: 7.64 m/s^2
Acceleration X: 0.70, Y: 0.03, Z: 7.62 m/s^2
Acceleration X: 0.66, Y: 0.05, Z: 7.68 m/s^2
Acceleration X: 0.74, Y: 0.07, Z: 7.60 m/s^2
Acceleration X: 0.69, Y: 0.05, Z: 7.58 m/s^2
Acceleration X: 0.68, Y: 0.07, Z: 7.60 m/s^2
Acceleration X: 0.62, Y: 0.10, Z: 7.61 m/s^2
Acceleration X: 0.59, Y: 0.08, Z: 7.65 m/s^2
Acceleration X: 0.75, Y: 0.01, Z: 7.61 m/s^2
Acceleration X: 0.61, Y: 0.09, Z: 7.61 m/s^2
Acceleration X: 0.66, Y: 0.09, Z: 7.62 m/s^2
Acceleration X: 0.70, Y: 0.09, Z: 7.60 m/s^2
Acceleration X: 0.64, Y: 0.02, Z: 7.65 m/s^2
Acceleration X: 0.70, Y: 0.05, Z: 7.63 m/s^2
Acceleration X: 0.61, Y: 0.00, Z: 7.57 m/s^2
Acceleration X: 0.67, Y: 0.04, Z: 7.57 m/s^2
Acceleration X: 0.68, Y: 0.02, Z: 7.66 m/s^2
Acceleration X: 0.64, Y: 0.08, Z: 7.56 m/s^2
Acceleration X: 0.71, Y: 0.07, Z: 7.49 m/s^2
Acceleration X: 0.71, Y: 0.08, Z: 7.69 m/s^2
Acceleration X: 0.68, Y: 0.09, Z: 7.67 m/s^2
Acceleration X: 0.71, Y: 0.09, Z: 7.61 m/s^2
Acceleration X: 0.67, Y: 0.00, Z: 7.56 m/s^2
Acceleration X: 0.69, Y: 0.09, Z: 7.57 m/s^2
Acceleration X: 0.64, Y: 0.09, Z: 7.58 m/s^2
Acceleration X: 0.70, Y: 0.02, Z: 7.54 m/s^2
Acceleration X: 0.65, Y: 0.07, Z: 7.51 m/s^2
Acceleration X: 0.67, Y: 0.07, Z: 7.64 m/s^2
Acceleration X: 0.67, Y: 0.13, Z: 7.72 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.58 m/s^2
Acceleration X: 0.67, Y: 0.12, Z: 7.63 m/s^2
Acceleration X: 0.67, Y: 0.02, Z: 7.64 m/s^2
Acceleration X: 0.69, Y: 0.07, Z: 7.68 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.65 m/s^2
Acceleration X: 0.69, Y: 0.06, Z: 7.67 m/s^2
Acceleration X: 0.71, Y: 0.10, Z: 7.58 m/s^2
Acceleration X: 0.62, Y: 0.06, Z: 7.65 m/s^2
Acceleration X: 0.70, Y: 0.04, Z: 7.62 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.61 m/s^2
Acceleration X: 0.68, Y: 0.04, Z: 7.60 m/s^2
Acceleration X: 0.70, Y: 0.04, Z: 7.61 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.70 m/s^2
Acceleration X: 0.65, Y: 0.08, Z: 7.64 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.69 m/s^2
Acceleration X: 0.65, Y: 0.04, Z: 7.61 m/s^2
Acceleration X: 0.70, Y: -0.00, Z: 7.72 m/s^2
Acceleration X: 0.56, Y: 0.09, Z: 7.63 m/s^2
Acceleration X: 0.70, Y: 0.14, Z: 7.70 m/s^2
Acceleration X: 0.65, Y: 0.03, Z: 7.60 m/s^2
Acceleration X: 0.70, Y: 0.03, Z: 7.64 m/s^2
Acceleration X: 0.66, Y: 0.02, Z: 7.67 m/s^2
Acceleration X: 0.71, Y: 0.01, Z: 7.68 m/s^2
Acceleration X: 0.70, Y: 0.08, Z: 7.66 m/s^2
Acceleration X: 0.64, Y: 0.03, Z: 7.71 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.69 m/s^2
Acceleration X: 0.61, Y: 0.06, Z: 7.67 m/s^2
Acceleration X: 0.66, Y: 0.04, Z: 7.67 m/s^2
Acceleration X: 0.68, Y: 0.02, Z: 7.65 m/s^2
Acceleration X: 0.64, Y: 0.11, Z: 7.66 m/s^2
Acceleration X: 0.65, Y: 0.08, Z: 7.67 m/s^2
Acceleration X: 0.62, Y: 0.07, Z: 7.62 m/s^2
Acceleration X: 0.66, Y: 0.02, Z: 7.61 m/s^2
Acceleration X: 0.71, Y: -0.00, Z: 7.62 m/s^2
Acceleration X: 0.59, Y: 0.02, Z: 7.65 m/s^2
Acceleration X: 0.68, Y: 0.04, Z: 7.69 m/s^2
Acceleration X: 0.66, Y: 0.05, Z: 7.67 m/s^2
Acceleration X: 0.65, Y: 0.00, Z: 7.70 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.61 m/s^2
Acceleration X: 0.66, Y: 0.11, Z: 7.59 m/s^2
Acceleration X: 0.70, Y: 0.06, Z: 7.61 m/s^2
Acceleration X: 0.57, Y: 0.09, Z: 7.62 m/s^2
Acceleration X: 0.68, Y: 0.07, Z: 7.68 m/s^2
Acceleration X: 0.66, Y: 0.08, Z: 7.61 m/s^2
Acceleration X: 0.67, Y: 0.04, Z: 7.59 m/s^2
Acceleration X: 0.70, Y: 0.08, Z: 7.61 m/s^2
Acceleration X: 0.75, Y: 0.08, Z: 7.62 m/s^2
Acceleration X: 0.70, Y: 0.04, Z: 7.74 m/s^2
Acceleration X: 0.71, Y: 0.10, Z: 7.57 m/s^2
Acceleration X: 0.68, Y: 0.11, Z: 7.67 m/s^2
Acceleration X: 0.72, Y: 0.08, Z: 7.57 m/s^2
Acceleration X: 0.72, Y: 0.06, Z: 7.58 m/s^2
Acceleration X: 0.67, Y: 0.08, Z: 7.60 m/s^2
Acceleration X: 0.71, Y: 0.04, Z: 7.62 m/s^2
Acceleration X: 0.61, Y: 0.04, Z: 7.63 m/s^2
Acceleration X: 0.71, Y: 0.06, Z: 7.76 m/s^2
Acceleration X: 0.66, Y: 0.08, Z: 7.59 m/s^2
Acceleration X: 0.73, Y: 0.05, Z: 7.60 m/s^2
Acceleration X: 0.70, Y: 0.05, Z: 7.59 m/s^2
Acceleration X: 0.72, Y: 0.13, Z: 7.58 m/s^2
Acceleration X: 0.65, Y: 0.10, Z: 7.59 m/s^2
Acceleration X: 0.65, Y: 0.13, Z: 7.57 m/s^2
Acceleration X: 0.66, Y: -0.01, Z: 7.74 m/s^2
Acceleration X: 0.73, Y: 0.06, Z: 7.47 m/s^2
Acceleration X: 0.63, Y: 0.06, Z: 7.73 m/s^2
Acceleration X: 0.62, Y: 0.06, Z: 7.61 m/s^2
Acceleration X: 0.67, Y: 0.01, Z: 7.68 m/s^2
Acceleration X: 0.73, Y: 0.05, Z: 7.55 m/s^2
Acceleration X: 0.69, Y: 0.06, Z: 7.63 m/s^2
Acceleration X: 0.68, Y: 0.03, Z: 7.59 m/s^2
Acceleration X: 0.66, Y: 0.01, Z: 7.65 m/s^2
Acceleration X: 0.64, Y: 0.06, Z: 7.68 m/s^2
Acceleration X: 0.66, Y: 0.11, Z: 7.55 m/s^2
Acceleration X: 0.62, Y: 0.04, Z: 7.62 m/s^2
Acceleration X: 0.73, Y: 0.03, Z: 7.54 m/s^2
Acceleration X: 0.72, Y: 0.05, Z: 7.65 m/s^2
Acceleration X: 0.59, Y: 0.07, Z: 7.57 m/s^2
Acceleration X: 0.69, Y: 0.06, Z: 7.71 m/s^2
Acceleration X: 0.76, Y: 0.11, Z: 7.67 m/s^2
Acceleration X: 0.74, Y: 0.09, Z: 7.66 m/s^2
Acceleration X: 0.67, Y: 0.08, Z: 7.53 m/s^2
Acceleration X: 0.64, Y: 0.05, Z: 7.63 m/s^2
Acceleration X: 0.69, Y: 0.11, Z: 7.66 m/s^2
Acceleration X: 0.68, Y: 0.08, Z: 7.69 m/s^2
Acceleration X: 0.69, Y: 0.00, Z: 7.41 m/s^2
Acceleration X: 0.62, Y: 0.06, Z: 7.71 m/s^2
Acceleration X: 0.62, Y: 0.12, Z: 7.56 m/s^2
Acceleration X: 0.63, Y: 0.04, Z: 7.70 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.58 m/s^2
Acceleration X: 0.71, Y: 0.06, Z: 7.56 m/s^2
Acceleration X: 0.65, Y: 0.05, Z: 7.69 m/s^2
Acceleration X: 0.63, Y: 0.06, Z: 7.66 m/s^2
Acceleration X: 0.65, Y: 0.09, Z: 7.67 m/s^2
Acceleration X: 0.69, Y: 0.05, Z: 7.58 m/s^2
Acceleration X: 0.71, Y: 0.05, Z: 7.70 m/s^2
Acceleration X: 0.67, Y: 0.02, Z: 7.61 m/s^2
Acceleration X: 0.67, Y: 0.10, Z: 7.67 m/s^2
Acceleration X: 0.72, Y: 0.10, Z: 7.66 m/s^2
Acceleration X: 0.74, Y: 0.06, Z: 7.66 m/s^2
Acceleration X: 0.67, Y: 0.07, Z: 7.63 m/s^2
Acceleration X: 0.70, Y: 0.08, Z: 7.62 m/s^2
Acceleration X: 0.70, Y: 0.06, Z: 7.70 m/s^2
Acceleration X: 0.69, Y: 0.08, Z: 7.62 m/s^2
Acceleration X: 0.68, Y: 0.08, Z: 7.70 m/s^2
Acceleration X: 0.65, Y: 0.07, Z: 7.59 m/s^2
Acceleration X: 0.71, Y: 0.08, Z: 7.60 m/s^2
Acceleration X: 0.65, Y: 0.06, Z: 7.62 m/s^2
Acceleration X: 0.71, Y: 0.09, Z: 7.68 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.53 m/s^2
Acceleration X: 0.65, Y: 0.03, Z: 7.71 m/s^2
Acceleration X: 0.72, Y: 0.12, Z: 7.63 m/s^2
Acceleration X: 0.69, Y: 0.05, Z: 7.63 m/s^2
Acceleration X: 0.69, Y: 0.09, Z: 7.64 m/s^2
Acceleration X: 0.65, Y: 0.11, Z: 7.67 m/s^2
Acceleration X: 0.69, Y: 0.10, Z: 7.59 m/s^2
Acceleration X: 0.70, Y: 0.05, Z: 7.69 m/s^2
Acceleration X: 0.70, Y: 0.06, Z: 7.58 m/s^2
Acceleration X: 0.71, Y: 0.03, Z: 7.57 m/s^2
Acceleration X: 0.71, Y: 0.04, Z: 7.56 m/s^2
Acceleration X: 0.73, Y: 0.10, Z: 7.67 m/s^2
Acceleration X: 0.62, Y: 0.09, Z: 7.62 m/s^2
Acceleration X: 0.74, Y: 0.07, Z: 7.62 m/s^2
Acceleration X: 0.66, Y: 0.11, Z: 7.46 m/s^2
Acceleration X: 0.65, Y: 0.04, Z: 7.60 m/s^2
Acceleration X: 0.67, Y: 0.11, Z: 7.58 m/s^2
Acceleration X: 0.72, Y: 0.12, Z: 7.58 m/s^2
Acceleration X: 0.68, Y: 0.02, Z: 7.51 m/s^2
Acceleration X: 0.66, Y: 0.02, Z: 7.66 m/s^2
Acceleration X: 0.67, Y: 0.05, Z: 7.66 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.65 m/s^2
Acceleration X: 0.67, Y: 0.06, Z: 7.63 m/s^2
Acceleration X: 0.71, Y: 0.08, Z: 7.65 m/s^2
Acceleration X: 0.70, Y: 0.06, Z: 7.63 m/s^2
Acceleration X: 0.63, Y: 0.15, Z: 7.70 m/s^2
Acceleration X: 0.66, Y: 0.07, Z: 7.60 m/s^2
Acceleration X: 0.68, Y: 0.05, Z: 7.64 m/s^2
Acceleration X: 0.69, Y: 0.07, Z: 7.67 m/s^2
Acceleration X: 0.74, Y: 0.07, Z: 7.61 m/s^2
Acceleration X: 0.65, Y: 0.05, Z: 7.67 m/s^2
Acceleration X: 0.64, Y: 0.10, Z: 7.66 m/s^2
Acceleration X: 0.66, Y: 0.10, Z: 7.70 m/s^2
Acceleration X: 0.66, Y: 0.09, Z: 7.62 m/s^2
Acceleration X: 0.73, Y: 0.10, Z: 7.63 m/s^2
Acceleration X: 0.70, Y: 0.06, Z: 7.60 m/s^2
Acceleration X: 0.67, Y: 0.12, Z: 7.59 m/s^2
Acceleration X: 0.66, Y: 0.08, Z: 7.58 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.73 m/s^2
Acceleration X: 0.66, Y: 0.04, Z: 7.69 m/s^2
Acceleration X: 0.67, Y: 0.02, Z: 7.60 m/s^2
Acceleration X: 0.69, Y: 0.03, Z: 7.72 m/s^2
Acceleration X: 0.70, Y: 0.02, Z: 7.73 m/s^2
Acceleration X: 0.64, Y: 0.09, Z: 7.66 m/s^2
Acceleration X: 0.73, Y: 0.08, Z: 7.52 m/s^2
Acceleration X: 0.66, Y: 0.07, Z: 7.57 m/s^2
Acceleration X: 0.71, Y: 0.07, Z: 7.66 m/s^2
Acceleration X: 0.61, Y: 0.03, Z: 7.69 m/s^2
Acceleration X: 0.66, Y: 0.08, Z: 7.68 m/s^2
Acceleration X: 0.69, Y: 0.00, Z: 7.60 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.70 m/s^2
Acceleration X: 0.66, Y: 0.09, Z: 7.65 m/s^2
Acceleration X: 0.64, Y: 0.06, Z: 7.68 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.73 m/s^2
Acceleration X: 0.61, Y: 0.06, Z: 7.61 m/s^2
Acceleration X: 0.70, Y: 0.05, Z: 7.75 m/s^2
Acceleration X: 0.69, Y: 0.12, Z: 7.62 m/s^2
Acceleration X: 0.71, Y: 0.06, Z: 7.70 m/s^2
Acceleration X: 0.65, Y: 0.09, Z: 7.57 m/s^2
Acceleration X: 0.68, Y: 0.10, Z: 7.67 m/s^2
Acceleration X: 0.70, Y: 0.02, Z: 7.63 m/s^2
Acceleration X: 0.72, Y: 0.07, Z: 7.61 m/s^2
Acceleration X: 0.67, Y: 0.04, Z: 7.60 m/s^2
Acceleration X: 0.69, Y: 0.04, Z: 7.59 m/s^2
Acceleration X: 0.62, Y: 0.08, Z: 7.59 m/s^2
Acceleration X: 0.64, Y: 0.09, Z: 7.65 m/s^2
Acceleration X: 0.67, Y: 0.03, Z: 7.60 m/s^2
Acceleration X: 0.61, Y: 0.12, Z: 7.58 m/s^2
Acceleration X: 0.62, Y: 0.10, Z: 7.65 m/s^2
Acceleration X: 0.65, Y: 0.08, Z: 7.60 m/s^2
Acceleration X: 0.72, Y: 0.04, Z: 7.52 m/s^2
Acceleration X: 0.64, Y: 0.09, Z: 7.64 m/s^2
Acceleration X: 0.69, Y: 0.09, Z: 7.67 m/s^2
Acceleration X: 0.68, Y: 0.02, Z: 7.53 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.67 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.56 m/s^2
Acceleration X: 0.70, Y: 0.08, Z: 7.67 m/s^2
Acceleration X: 0.69, Y: 0.08, Z: 7.66 m/s^2
Acceleration X: 0.67, Y: 0.07, Z: 7.73 m/s^2
Acceleration X: 0.72, Y: 0.03, Z: 7.48 m/s^2
Acceleration X: 0.64, Y: 0.05, Z: 7.64 m/s^2
Acceleration X: 0.68, Y: 0.06, Z: 7.46 m/s^2
Acceleration X: 0.66, Y: 0.13, Z: 7.67 m/s^2
Acceleration X: 0.66, Y: 0.05, Z: 7.57 m/s^2
Acceleration X: 0.66, Y: 0.06, Z: 7.69 m/s^2
Acceleration X: 0.73, Y: -0.00, Z: 7.57 m/s^2
Acceleration X: 0.66, Y: 0.05, Z: 7.63 m/s^2
Acceleration X: 0.77, Y: 0.03, Z: 7.58 m/s^2
Acceleration X: 0.57, Y: 0.03, Z: 7.66 m/s^2
Acceleration X: 0.69, Y: 0.09, Z: 7.56 m/s^2
Acceleration X: 0.69, Y: 0.06, Z: 7.64 m/s^2
Acceleration X: 0.73, Y: -0.02, Z: 7.75 m/s^2
